"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 28 07:39:16 GMT 2025","Sun Sep 28 07:39:27 GMT 2025","11907","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","shouldNotCreateBuildWithEmptyName","User should not be able to create build with empty name",""
"failed","Sun Sep 28 07:39:28 GMT 2025","Sun Sep 28 07:39:47 GMT 2025","19510","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sun Sep 28 07:37:15 GMT 2025","Sun Sep 28 07:38:09 GMT 2025","53528","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"passed","Sun Sep 28 07:38:20 GMT 2025","Sun Sep 28 07:39:15 GMT 2025","54712","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","shouldCreateBuildConfiguration","User should be able to create build",""
