"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 27 11:20:55 GMT 2025","Sat Sep 27 11:21:08 GMT 2025","12869","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","shouldNotCreateBuildWithEmptyName","User should not be able to create build with empty name",""
"passed","Sat Sep 27 11:18:46 GMT 2025","Sat Sep 27 11:19:42 GMT 2025","56064","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
"failed","Sat Sep 27 11:21:08 GMT 2025","Sat Sep 27 11:21:18 GMT 2025","9895","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sat Sep 27 11:19:54 GMT 2025","Sat Sep 27 11:20:54 GMT 2025","59935","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","shouldCreateBuildConfiguration","User should be able to create build",""
