"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 27 12:27:18 GMT 2025","Sat Sep 27 12:27:31 GMT 2025","12778","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","shouldNotCreateBuildWithEmptyName","User should not be able to create build with empty name",""
"failed","Sat Sep 27 12:27:31 GMT 2025","Sat Sep 27 12:28:26 GMT 2025","55021","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sat Sep 27 12:26:23 GMT 2025","Sat Sep 27 12:27:17 GMT 2025","54950","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","shouldCreateBuildConfiguration","User should be able to create build",""
"passed","Sat Sep 27 12:25:19 GMT 2025","Sat Sep 27 12:26:13 GMT 2025","53500","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
