"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 27 16:04:18 GMT 2025","Sat Sep 27 16:04:30 GMT 2025","12251","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sat Sep 27 16:04:06 GMT 2025","Sat Sep 27 16:04:18 GMT 2025","11571","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","shouldNotCreateBuildWithEmptyName","User should not be able to create build with empty name",""
"passed","Sat Sep 27 16:03:11 GMT 2025","Sat Sep 27 16:04:06 GMT 2025","54364","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","shouldCreateBuildConfiguration","User should be able to create build",""
"passed","Sat Sep 27 16:02:11 GMT 2025","Sat Sep 27 16:03:01 GMT 2025","50010","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
