"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 27 16:22:20 GMT 2025","Sat Sep 27 16:23:13 GMT 2025","53435","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","shouldCreateBuildConfiguration","User should be able to create build",""
"passed","Sat Sep 27 16:23:14 GMT 2025","Sat Sep 27 16:23:25 GMT 2025","11221","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","shouldNotCreateBuildWithEmptyName","User should not be able to create build with empty name",""
"failed","Sat Sep 27 16:23:25 GMT 2025","Sat Sep 27 16:24:59 GMT 2025","94067","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"passed","Sat Sep 27 16:21:17 GMT 2025","Sat Sep 27 16:22:10 GMT 2025","52530","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
