"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 28 07:20:28 GMT 2025","Sun Sep 28 07:21:23 GMT 2025","54501","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","shouldCreateBuildConfiguration","User should be able to create build",""
"broken","Sun Sep 28 07:21:30 GMT 2025","Sun Sep 28 07:21:35 GMT 2025","4509","Surefire suite","Surefire test","com.example.teamcity.ui.CreateProjectTest","com.example.teamcity.ui.CreateProjectTest","userCreatesProject","User should be able to create project",""
"broken","Sun Sep 28 07:21:23 GMT 2025","Sun Sep 28 07:21:30 GMT 2025","6644","Surefire suite","Surefire test","com.example.teamcity.ui.CreateBuildTest","com.example.teamcity.ui.CreateBuildTest","shouldNotCreateBuildWithEmptyName","User should not be able to create build with empty name",""
"passed","Sun Sep 28 07:19:27 GMT 2025","Sun Sep 28 07:20:19 GMT 2025","52222","Surefire suite","Surefire test","com.example.teamcity.ui.SetupServerTest","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest","setupTeamCityServerTest",""
